SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,INDICATORID,SUBINDICATORID,FACTORS,QUES_TYPE
2020,D118A = 1,"Persons with a disability, seeing disability","Personnes en situation de handicap, trouble de la vision",1091,Q18a,9,29,33,16,6,7,0,24,35,41,41,2.8,45,31,4,10,Persons with a disability,2
2022,D118A = 2,"Persons with a disability, seeing disability not selected","Personnes en situation de handicap, trouble de la vision non sélectionnée",1092,Q18a,13,28,30,18,9,1,2,27,31,42,42,2.81,45,640,4,10,Persons with a disability,2
2020,D118A = 2,"Persons with a disability, seeing disability not selected","Personnes en situation de handicap, trouble de la vision non sélectionnée",1092,Q18a,12,23,37,18,7,0,3,25,38,36,36,2.84,46,362,4,10,Persons with a disability,2
2022,D118B = 1,"Persons with a disability, hearing disability","Personnes en situation de handicap, trouble de laudition",1093,Q18a,19,33,30,11,6,0,3,17,30,53,53,2.5,38,70,4,10,Persons with a disability,2
2020,D118B = 1,"Persons with a disability, hearing disability","Personnes en situation de handicap, trouble de laudition",1093,Q18a,12,31,29,12,10,0,5,23,31,46,46,2.75,44,40,4,10,Persons with a disability,2
2022,D118B = 2,"Persons with a disability, hearing disability not selected","Personnes en situation de handicap, trouble de laudition non sélectionnée",1094,Q18a,12,28,31,18,9,1,2,27,32,41,41,2.83,46,610,4,10,Persons with a disability,2
2020,D118B = 2,"Persons with a disability, hearing disability not selected","Personnes en situation de handicap, trouble de laudition non sélectionnée",1094,Q18a,12,23,38,18,7,1,2,26,39,36,36,2.85,46,353,4,10,Persons with a disability,2
2022,D118C = 1,"Persons with a disability, speech disability","Personnes en situation de handicap, trouble de la parole",1095,Q18a,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,10,Persons with a disability,2
2022,D118C = 2,"Persons with a disability, speech disability not selected","Personnes en situation de handicap, trouble de la parole non sélectionnée",1096,Q18a,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,10,Persons with a disability,2
2022,D118D = 1,"Persons with a disability, mobility disability","Personnes en situation de handicap, problème de mobilité",1097,Q18a,7,29,31,21,7,0,5,30,32,37,37,2.94,49,95,4,10,Persons with a disability,2
2020,D118D = 1,"Persons with a disability, mobility disability","Personnes en situation de handicap, problème de mobilité",1097,Q18a,15,17,35,18,14,0,1,32,35,32,32,2.99,50,69,4,10,Persons with a disability,2
2022,D118D = 2,"Persons with a disability, mobility disability not selected","Personnes en situation de handicap, problème de mobilité non sélectionnée",1098,Q18a,14,28,31,16,8,1,1,25,32,43,43,2.77,44,590,4,10,Persons with a disability,2
2020,D118D = 2,"Persons with a disability, mobility disability not selected","Personnes en situation de handicap, problème de mobilité non sélectionnée",1098,Q18a,11,25,37,17,6,1,3,24,39,38,38,2.8,45,324,4,10,Persons with a disability,2
2022,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity","Personnes en situation de handicap, problème de flexibilité ou de dextérité",1099,Q18a,12,29,29,13,13,0,4,27,30,43,43,2.86,47,65,4,10,Persons with a disability,2
2020,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity","Personnes en situation de handicap, problème de flexibilité ou de dextérité",1099,Q18a,20,35,26,15,3,0,3,18,26,56,56,2.44,36,41,4,10,Persons with a disability,2
2022,D118E = 2,"Persons with a disability, challenges with flexibility or dexterity not selected","Personnes en situation de handicap, problème de flexibilité ou de dextérité non sélectionnée",1100,Q18a,13,28,32,18,8,1,1,26,32,42,42,2.79,45,615,4,10,Persons with a disability,2
2020,D118E = 2,"Persons with a disability, challenges with flexibility or dexterity not selected","Personnes en situation de handicap, problème de flexibilité ou de dextérité non sélectionnée",1100,Q18a,11,22,38,18,8,1,2,26,39,34,34,2.89,47,352,4,10,Persons with a disability,2
2022,D118F = 1,"Persons with a disability, mental health disability","Personnes en situation de handicap, problème de santé mentale",1101,Q18a,13,27,29,19,11,1,0,30,30,40,40,2.88,47,270,4,10,Persons with a disability,2
2020,D118F = 1,"Persons with a disability, mental health disability","Personnes en situation de handicap, problème de santé mentale",1101,Q18a,11,23,36,20,9,0,1,29,36,34,34,2.92,48,145,4,10,Persons with a disability,2
2022,D118F = 2,"Persons with a disability, mental health disability not selected","Personnes en situation de handicap, problème de santé mentale non sélectionnée",1102,Q18a,13,29,33,16,6,1,3,23,34,43,43,2.73,43,415,4,10,Persons with a disability,2
2020,D118F = 2,"Persons with a disability, mental health disability not selected","Personnes en situation de handicap, problème de santé mentale non sélectionnée",1102,Q18a,12,24,38,16,6,1,3,23,39,38,38,2.79,45,248,4,10,Persons with a disability,2
2022,D118G = 1,"Persons with a disability, sensory or environmental disability","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement",1103,Q18a,14,30,31,17,4,1,2,22,32,45,45,2.66,42,90,4,10,Persons with a disability,2
2020,D118G = 1,"Persons with a disability, sensory or environmental disability","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement",1103,Q18a,14,28,28,21,7,0,2,28,28,43,43,2.77,44,48,4,10,Persons with a disability,2
2022,D118G = 2,"Persons with a disability, sensory or environmental disability not selected","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement non sélectionnée",1104,Q18a,12,28,31,17,9,1,2,27,32,41,41,2.82,46,595,4,10,Persons with a disability,2
2020,D118G = 2,"Persons with a disability, sensory or environmental disability not selected","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement non sélectionnée",1104,Q18a,12,23,38,17,7,1,2,25,39,36,36,2.85,46,345,4,10,Persons with a disability,2
2022,D118H = 1,"Persons with a disability, chronic health condition or pain","Personnes en situation de handicap, maladie ou douleur chroniques",1105,Q18a,14,28,32,14,9,1,2,24,32,43,43,2.76,44,245,4,10,Persons with a disability,2
2020,D118H = 1,"Persons with a disability, chronic health condition or pain","Personnes en situation de handicap, maladie ou douleur chroniques",1105,Q18a,10,26,30,19,11,0,3,31,31,37,37,2.95,49,122,4,10,Persons with a disability,2
2022,D118H = 2,"Persons with a disability, chronic health condition or pain not selected","Personnes en situation de handicap, maladie ou douleur chroniques non sélectionnée",1106,Q18a,12,28,31,19,8,1,2,27,32,41,41,2.82,46,435,4,10,Persons with a disability,2
2020,D118H = 2,"Persons with a disability, chronic health condition or pain not selected","Personnes en situation de handicap, maladie ou douleur chroniques non sélectionnée",1106,Q18a,13,22,40,17,5,1,2,23,41,36,36,2.79,45,271,4,10,Persons with a disability,2
2022,D118I = 1,"Persons with a disability, cognitive disability","Personnes en situation de handicap, trouble cognitif",1107,Q18a,17,27,29,14,13,1,0,27,29,44,44,2.8,45,160,4,10,Persons with a disability,2
2020,D118I = 1,"Persons with a disability, cognitive disability","Personnes en situation de handicap, trouble cognitif",1107,Q18a,18,27,29,18,6,0,2,25,29,46,46,2.66,41,55,4,10,Persons with a disability,2
2022,D118I = 2,"Persons with a disability, cognitive disability not selected","Personnes en situation de handicap, trouble cognitif non sélectionnée",1108,Q18a,11,28,32,18,7,1,2,26,33,41,41,2.79,45,525,4,10,Persons with a disability,2
2020,D118I = 2,"Persons with a disability, cognitive disability not selected","Personnes en situation de handicap, trouble cognitif non sélectionnée",1108,Q18a,11,23,38,17,7,1,2,25,39,35,35,2.87,47,338,4,10,Persons with a disability,2
2022,D118J = 1,"Persons with a disability, intellectual disability","Personnes en situation de handicap, handicap intellectuel",1109,Q18a,8,22,22,32,16,0,0,48,22,30,30,3.25,56,20,4,10,Persons with a disability,2
2020,D118J = 1,"Persons with a disability, intellectual disability","Personnes en situation de handicap, handicap intellectuel",1109,Q18a,,,,,,,,,,,,,,,4,10,Persons with a disability,2
2022,D118J = 2,"Persons with a disability, intellectual disability not selected","Personnes en situation de handicap, handicap intellectuel non sélectionnée",1110,Q18a,13,28,32,17,8,1,2,25,32,42,42,2.78,45,660,4,10,Persons with a disability,2
