descrip_E,BYCOND,source_file,FACTORS
ED-01,OCCLEVEL = 153,../data/clean\subset4.csv,Occupation Level
ED-02,OCCLEVEL = 154,../data/clean\subset4.csv,Occupation Level
ED-05,OCCLEVEL = 157,../data/clean\subset4.csv,Occupation Level
EG,Q105A = 036,../data/clean\subset4.csv,Occupation Level
EG-03,OCCLEVEL = 161,../data/clean\subset4.csv,Occupation Level
EG-04,OCCLEVEL = 162,../data/clean\subset4.csv,Occupation Level
EG-05,OCCLEVEL = 163,../data/clean\subset4.csv,Occupation Level
EG-06,OCCLEVEL = 164,../data/clean\subset4.csv,Occupation Level
EG-07,OCCLEVEL = 165,../data/clean\subset4.csv,Occupation Level
EL,Q105A = 037,../data/clean\subset4.csv,Occupation Level
EL-04,OCCLEVEL = 170,../data/clean\subset4.csv,Occupation Level
EL-06,OCCLEVEL = 172,../data/clean\subset4.csv,Occupation Level
EL-07,OCCLEVEL = 173,../data/clean\subset4.csv,Occupation Level
EN,Q105A = 038,../data/clean\subset4.csv,Occupation Level
EN-02,OCCLEVEL = 177,../data/clean\subset4.csv,Occupation Level
EN-03,OCCLEVEL = 178,../data/clean\subset4.csv,Occupation Level
EN-04,OCCLEVEL = 179,../data/clean\subset4.csv,Occupation Level
EN-05,OCCLEVEL = 180,../data/clean\subset4.csv,Occupation Level
EN-06,OCCLEVEL = 181,../data/clean\subset4.csv,Occupation Level
EX,Q105A = 041,../data/clean\subset4.csv,Occupation Level
EX-01,OCCLEVEL = 191,../data/clean\subset4.csv,Occupation Level
EX-02,OCCLEVEL = 192,../data/clean\subset4.csv,Occupation Level
EX-03,OCCLEVEL = 193,../data/clean\subset4.csv,Occupation Level
EX-04,OCCLEVEL = 194,../data/clean\subset4.csv,Occupation Level
EX-05,OCCLEVEL = 195,../data/clean\subset4.csv,Occupation Level
FI,Q105A = 044,../data/clean\subset4.csv,Occupation Level
FI-01,OCCLEVEL = 213,../data/clean\subset4.csv,Occupation Level
FI-02,OCCLEVEL = 214,../data/clean\subset4.csv,Occupation Level
FI-03,OCCLEVEL = 215,../data/clean\subset4.csv,Occupation Level
FI-04,OCCLEVEL = 216,../data/clean\subset4.csv,Occupation Level
GL,Q105A = 049,../data/clean\subset4.csv,Occupation Level
GL-08,OCCLEVEL = 256,../data/clean\subset4.csv,Occupation Level
GL-11,OCCLEVEL = 259,../data/clean\subset4.csv,Occupation Level
GS,Q105A = 052,../data/clean\subset4.csv,Occupation Level
GS-04,OCCLEVEL = 279,../data/clean\subset4.csv,Occupation Level
GS-05,OCCLEVEL = 280,../data/clean\subset4.csv,Occupation Level
GS-06,OCCLEVEL = 281,../data/clean\subset4.csv,Occupation Level
GT,Q105A = 053,../data/clean\subset4.csv,Occupation Level
GT-03,OCCLEVEL = 291,../data/clean\subset4.csv,Occupation Level
IS,Q105A = 060,../data/clean\subset4.csv,Occupation Level
IS-02,OCCLEVEL = 327,../data/clean\subset4.csv,Occupation Level
IS-03,OCCLEVEL = 328,../data/clean\subset4.csv,Occupation Level
IS-04,OCCLEVEL = 329,../data/clean\subset4.csv,Occupation Level
IS-05,OCCLEVEL = 330,../data/clean\subset4.csv,Occupation Level
IS-06,OCCLEVEL = 331,../data/clean\subset4.csv,Occupation Level
LS,Q105A = 067,../data/clean\subset4.csv,Occupation Level
LS-02,OCCLEVEL = 383,../data/clean\subset4.csv,Occupation Level
LS-03,OCCLEVEL = 384,../data/clean\subset4.csv,Occupation Level
MD,Q105A = 069,../data/clean\subset4.csv,Occupation Level
MD-02,OCCLEVEL = 395,../data/clean\subset4.csv,Occupation Level
MD-03,OCCLEVEL = 396,../data/clean\subset4.csv,Occupation Level
MD-04,OCCLEVEL = 397,../data/clean\subset4.csv,Occupation Level
MD-05,OCCLEVEL = 398,../data/clean\subset4.csv,Occupation Level
ND,Q105A = 075,../data/clean\subset4.csv,Occupation Level
ND-01,OCCLEVEL = 433,../data/clean\subset4.csv,Occupation Level
ND-02,OCCLEVEL = 434,../data/clean\subset4.csv,Occupation Level
ND-03,OCCLEVEL = 435,../data/clean\subset4.csv,Occupation Level
NU,Q105A = 076,../data/clean\subset4.csv,Occupation Level
NU-03,OCCLEVEL = 438,../data/clean\subset4.csv,Occupation Level
NU-04,OCCLEVEL = 439,../data/clean\subset4.csv,Occupation Level
NU-05,OCCLEVEL = 440,../data/clean\subset4.csv,Occupation Level
NU-06,OCCLEVEL = 441,../data/clean\subset4.csv,Occupation Level
PC,Q105A = 082,../data/clean\subset4.csv,Occupation Level
PC-02,OCCLEVEL = 453,../data/clean\subset4.csv,Occupation Level
PC-03,OCCLEVEL = 454,../data/clean\subset4.csv,Occupation Level
PC-04,OCCLEVEL = 455,../data/clean\subset4.csv,Occupation Level
PC-05,OCCLEVEL = 456,../data/clean\subset4.csv,Occupation Level
PE,Q105A = 083,../data/clean\subset4.csv,Occupation Level
PE-01,OCCLEVEL = 457,../data/clean\subset4.csv,Occupation Level
PE-02,OCCLEVEL = 458,../data/clean\subset4.csv,Occupation Level
PE-03,OCCLEVEL = 459,../data/clean\subset4.csv,Occupation Level
PE-04,OCCLEVEL = 460,../data/clean\subset4.csv,Occupation Level
PE-05,OCCLEVEL = 461,../data/clean\subset4.csv,Occupation Level
PE-06,OCCLEVEL = 462,../data/clean\subset4.csv,Occupation Level
PG,Q105A = 084,../data/clean\subset4.csv,Occupation Level
PG-01,OCCLEVEL = 463,../data/clean\subset4.csv,Occupation Level
PG-02,OCCLEVEL = 464,../data/clean\subset4.csv,Occupation Level
PG-03,OCCLEVEL = 465,../data/clean\subset4.csv,Occupation Level
PG-04,OCCLEVEL = 466,../data/clean\subset4.csv,Occupation Level
