descrip_E,BYCOND,source_file,FACTORS
Legal Services,LEVEL2ID = 204,../data/clean\subset7.csv,
Strategic Policy Branch,LEVEL2ID = 205,../data/clean\subset7.csv,
Assitant Deputy Minister's Office / Branch Business Division / Ministerial Briefing Unit / Central Unit for the Coordination of Ministerial Events and Travel / Canada Health Act Division / Federal-Provincial-Territorial Relations / Health Programs and Strategic Initiatives / Mental Health Directorate / Science Policy Directorate / Office of Pharmaceuticals Management Strategies,LEVEL3ID = 305,../data/clean\subset7.csv,
Health Care Programs and Policy Directorate,LEVEL3ID = 306,../data/clean\subset7.csv,
Health Care Strategies Directorate,LEVEL3ID = 307,../data/clean\subset7.csv,
Policy Coordination and Planning Directorate,LEVEL3ID = 308,../data/clean\subset7.csv,
Corporate Services Branch,LEVEL2ID = 206,../data/clean\subset7.csv,
Assistant Deputy Minister's Office / Strategic Business Renewal Directorate / Equity Diversity Inclusion Office,LEVEL3ID = 309,../data/clean\subset7.csv,
"Policy, Planning and Management Services",LEVEL3ID = 310,../data/clean\subset7.csv,
Director General's Office / Engagement & Outreach Division / Planning & Oversight Division / Strategic Workforce Innovation Management Division,LEVEL4ID = 400,../data/clean\subset7.csv,
Access to Information and Privacy Operations Division,LEVEL4ID = 401,../data/clean\subset7.csv,
Human Resources Services Directorate,LEVEL3ID = 311,../data/clean\subset7.csv,
Director General's Office / Executive Group Services Division,LEVEL4ID = 402,../data/clean\subset7.csv,
Client Services Division,LEVEL4ID = 403,../data/clean\subset7.csv,
Labour Relations Division,LEVEL4ID = 404,../data/clean\subset7.csv,
Pay Modernization Division,LEVEL4ID = 405,../data/clean\subset7.csv,
"Corporate Policies, Programs and Mental Health Division",LEVEL4ID = 406,../data/clean\subset7.csv,
Workplace Wellbeing and Workforce Development Division / Learning Develop & Talent Mgt Division,LEVEL4ID = 407,../data/clean\subset7.csv,
Real Property and Security Directorate,LEVEL3ID = 312,../data/clean\subset7.csv,
Director General's Office / National Program Management Division,LEVEL4ID = 408,../data/clean\subset7.csv,
National Accommodations & Facilities Management Division,LEVEL4ID = 409,../data/clean\subset7.csv,
National Asset Management & Laboratory Operations Division,LEVEL4ID = 410,../data/clean\subset7.csv,
Security Management Division,LEVEL4ID = 411,../data/clean\subset7.csv,
Specialized Health Services Directorate,LEVEL3ID = 313,../data/clean\subset7.csv,
Employee Assistance Services Division,LEVEL4ID = 412,../data/clean\subset7.csv,
Public Service Occupational Health Program Division,LEVEL4ID = 413,../data/clean\subset7.csv,
Policy And Strategic Direction Division/ Director General's Office / Employee Assistance Services - COVID Mental Health Response Division / Public Service Occupational Health Program - COVID Response Division / Research And Innovation Division,LEVEL4ID = 414,../data/clean\subset7.csv,
Chief Financial Officer Branch,LEVEL2ID = 207,../data/clean\subset7.csv,
Office of the Chief Financial Officer / Branch Management Services Unit (BMSU) / Cost Recovery&Investment Plan / Departmental Submissions and Performance Measurement Directorat,LEVEL3ID = 314,../data/clean\subset7.csv,
Comptrollership Systems Modernization Division,LEVEL3ID = 315,../data/clean\subset7.csv,
Accounting Operations Division,LEVEL4ID = 415,../data/clean\subset7.csv,
"Policy, Internal Controls and Corporate Accounting Division / Financial Operations Directorate-DGO /",LEVEL4ID = 416,../data/clean\subset7.csv,
"Procurement, Material and Assets Management Division",LEVEL4ID = 417,../data/clean\subset7.csv,
Financial Management Directorate (FMD),LEVEL3ID = 316,../data/clean\subset7.csv,
Healthy Environments and Consumer Safety Branch,LEVEL2ID = 208,../data/clean\subset7.csv,
"Assistant Deputy Minister's Office / Policy, Planning and Integration",LEVEL3ID = 317,../data/clean\subset7.csv,
Environmental and Radiation Health Sciences Directorate,LEVEL3ID = 318,../data/clean\subset7.csv,
Radiation Protection Bureau,LEVEL4ID = 418,../data/clean\subset7.csv,
Environmental Health Science and Research Bureau,LEVEL4ID = 419,../data/clean\subset7.csv,
"Consumer and Clinical Radiation Protection Bureau / Director General's Office / Office of Science Policy, Liaison and Coordination / Office of Management Services, Planning and Evaluation / Office of Environmental Health",LEVEL4ID = 420,../data/clean\subset7.csv,
Safe Environments Directorate,LEVEL3ID = 319,../data/clean\subset7.csv,
New Substances Assessment and Control Bureau,LEVEL4ID = 421,../data/clean\subset7.csv,
Existing Substances Risk Assessment Bureau / Risk Management Bureau,LEVEL4ID = 422,../data/clean\subset7.csv,
Water and Air Quality Bureau,LEVEL4ID = 423,../data/clean\subset7.csv,
Climate Change and Innovation Bureau / Chemicals and Environmental Health Management Bureau / Business Process Improvement Bureau / Director General's Office,LEVEL4ID = 424,../data/clean\subset7.csv,
Consumer and Hazardous Product Safety Directorate,LEVEL3ID = 320,../data/clean\subset7.csv,
"Assessment, Information and Engagement Bureau / Director General's Office (includes SPD)",LEVEL4ID = 425,../data/clean\subset7.csv,
Risk Management Bureau / Workplace Hazardous Materials Bureau,LEVEL4ID = 426,../data/clean\subset7.csv,
Controlled Substances and Cannabis Branch,LEVEL2ID = 209,../data/clean\subset7.csv,
Assistant Deputy Minister's Office/Opioid Response Team,LEVEL3ID = 321,../data/clean\subset7.csv,
Branch Operational Support Services,LEVEL3ID = 322,../data/clean\subset7.csv,
"Horizontal Policy, Planning and Program Directorate",LEVEL3ID = 323,../data/clean\subset7.csv,
Compliance Directorate,LEVEL3ID = 324,../data/clean\subset7.csv,
Controlled Substances Directorate,LEVEL3ID = 325,../data/clean\subset7.csv,
Licensing and Medical Access Directorate,LEVEL3ID = 326,../data/clean\subset7.csv,
Office of Medical Access,LEVEL4ID = 427,../data/clean\subset7.csv,
DGO Licencing and Medical Access/ Licencing and Security,LEVEL4ID = 428,../data/clean\subset7.csv,
Strategic Policy Directorate,LEVEL3ID = 327,../data/clean\subset7.csv,
Tobacco Control Directorate,LEVEL3ID = 328,../data/clean\subset7.csv,
Health Products and Food Branch,LEVEL2ID = 210,../data/clean\subset7.csv,
Policy Planning and International Affairs Directorate,LEVEL3ID = 329,../data/clean\subset7.csv,
Director General's Office / Strategic Horizontal Policy Division/ Regulatory Innovation & Strategic Stakeholder Engagement Team,LEVEL4ID = 429,../data/clean\subset7.csv,
Office of Legislative and Regulatory Modernization,LEVEL4ID = 430,../data/clean\subset7.csv,
Assistant Deputy Minister's Office / Resource Management and Operations Directorate,LEVEL3ID = 330,../data/clean\subset7.csv,
Assistant Deputy Minister's Office / Director General's Office / Governance Division / Internal Communications Division / Operational Management and Scientific Learning Division,LEVEL4ID = 431,../data/clean\subset7.csv,
Strategic Planning and Accountability Division,LEVEL4ID = 432,../data/clean\subset7.csv,
Transformation and Business Informatics Division/ Information Science & Openness Division,LEVEL4ID = 433,../data/clean\subset7.csv,
Office of Submissions and Intellectual Property,LEVEL4ID = 434,../data/clean\subset7.csv,
Biologics and Radiopharmaceutical Drugs Directorate,LEVEL3ID = 331,../data/clean\subset7.csv,
Director Generals Office / Office of Business Integration / Office of Quality and Information Management / Office of Regulatory Affairs,LEVEL4ID = 435,../data/clean\subset7.csv,
"Centre for Oncology, Radiopharmaceuticals and Research",LEVEL4ID = 436,../data/clean\subset7.csv,
"Centre for Blood, Blood Products and Biotherapeutics",LEVEL4ID = 437,../data/clean\subset7.csv,
"Centre for Vaccines, Clinical Trials and Biostatistics",LEVEL4ID = 438,../data/clean\subset7.csv,
"Centre for Policy, Pediatrics and International Collaboration",LEVEL4ID = 439,../data/clean\subset7.csv,
Food Directorate,LEVEL3ID = 332,../data/clean\subset7.csv,
Director General's Office / Bureau of Business Systems & Operations,LEVEL4ID = 440,../data/clean\subset7.csv,
"Bureau of Policy, Intergovernmental and International Affairs / Bureau of Food Surveillance and Science Integration",LEVEL4ID = 441,../data/clean\subset7.csv,
Chemical Safety: Directors Office / Chemical Health Assessment,LEVEL4ID = 442,../data/clean\subset7.csv,
Chemical Safety - Food Research/Toxicology Research/Scientific Services,LEVEL4ID = 443,../data/clean\subset7.csv,
Nutritional Sciences: Directors Office / Nutrition Regulation Standards / Office of Nutritional Policy and Promotion,LEVEL4ID = 444,../data/clean\subset7.csv,
Nutrition Research / Nutrition Premarket Assessment,LEVEL4ID = 445,../data/clean\subset7.csv,
Microbial Hazards,LEVEL4ID = 446,../data/clean\subset7.csv,
Marketed Health Products Directorate,LEVEL3ID = 333,../data/clean\subset7.csv,
Director Generals Office / Bureau of Strategic Engagement and Integrated Management Services,LEVEL4ID = 447,../data/clean\subset7.csv,
Office of Policy Risk Advisory and Advertising,LEVEL4ID = 448,../data/clean\subset7.csv,
"Bureau of Biologics, Radiopharmaceuticals and Self-care products",LEVEL4ID = 449,../data/clean\subset7.csv,
Health Products Surveillance and Epidemiology Bureau,LEVEL4ID = 450,../data/clean\subset7.csv,
Marketed Pharmaceuticals Bureau,LEVEL4ID = 451,../data/clean\subset7.csv,
Natural and Non-prescription Health Products Directorate,LEVEL3ID = 334,../data/clean\subset7.csv,
Director Generals Office / Bureau of Strategic Planning and Business Services / Bureau of Business Systems Modernization,LEVEL4ID = 452,../data/clean\subset7.csv,
"Bureau of Policy, Risk Management and Stakeholder Engagement",LEVEL4ID = 453,../data/clean\subset7.csv,
Bureau of Product Review and Assessment,LEVEL4ID = 454,../data/clean\subset7.csv,
Bureau of Licensing Services and Systems,LEVEL4ID = 455,../data/clean\subset7.csv,
Pharmaceutical Drugs Directorate,LEVEL3ID = 335,../data/clean\subset7.csv,
"Director General's Office / Bureau of Medical Sciences/ Bureau of Policy, Science and International Programs",LEVEL4ID = 456,../data/clean\subset7.csv,
"Office of Planning, Performance and Review Services",LEVEL4ID = 457,../data/clean\subset7.csv,
"Bureau of Cardiology, Allergy and Neurological Sciences",LEVEL4ID = 458,../data/clean\subset7.csv,
"Bureau of Metabolism, Oncology and Reproductive Sciences",LEVEL4ID = 459,../data/clean\subset7.csv,
"Bureau of Gastroenterology, Infection and Viral Diseases",LEVEL4ID = 460,../data/clean\subset7.csv,
Bureau of Pharmaceutical Sciences,LEVEL4ID = 461,../data/clean\subset7.csv,
Office of Clinical Trials,LEVEL4ID = 462,../data/clean\subset7.csv,
Medical Devices Directorate,LEVEL3ID = 336,../data/clean\subset7.csv,
"Director General's Office / Bureau of Planning and Operations / Bureau of policy and international programs / Bureau of Investigational Testing Authorization, Special Access Program and Post-market Surveillance",LEVEL4ID = 463,../data/clean\subset7.csv,
Bureau of Licensing Services,LEVEL4ID = 464,../data/clean\subset7.csv,
Bureau of Evaluation,LEVEL4ID = 465,../data/clean\subset7.csv,
Veterinary Drugs Directorate,LEVEL3ID = 337,../data/clean\subset7.csv,
Pest Management Regulatory Agency,LEVEL2ID = 211,../data/clean\subset7.csv,
Health Evaluation Directorate,LEVEL3ID = 338,../data/clean\subset7.csv,
Registration Directorate,LEVEL3ID = 339,../data/clean\subset7.csv,
Environmental Assessment Directorate,LEVEL3ID = 340,../data/clean\subset7.csv,
PMRA Executive Directors Office and PMRA Transformation,LEVEL3ID = 341,../data/clean\subset7.csv,
Value Assessment and Re-evaluation Directorate,LEVEL3ID = 342,../data/clean\subset7.csv,
Policy and Operations Directorate,LEVEL3ID = 343,../data/clean\subset7.csv,
Regulatory Operations and Enforcement Branch,LEVEL2ID = 212,../data/clean\subset7.csv,
Planning and Operations Directorate,LEVEL3ID = 344,../data/clean\subset7.csv,
Medical Devices and Clinical Compliance Directorate,LEVEL3ID = 345,../data/clean\subset7.csv,
Clinical Compliance and Border Operations / Director General's Office,LEVEL4ID = 466,../data/clean\subset7.csv,
Medical Devices Compliance Program,LEVEL4ID = 467,../data/clean\subset7.csv,
Health Products Compliance Directorate,LEVEL3ID = 346,../data/clean\subset7.csv,
Health Product Compliance and Risk Management / Director Generals Office,LEVEL4ID = 468,../data/clean\subset7.csv,
Health Product Inspections and Licensing,LEVEL4ID = 469,../data/clean\subset7.csv,
Laboratories Directorate,LEVEL3ID = 347,../data/clean\subset7.csv,
Drug Analysis Service and Cannabis Laboratory / Director Generals Office,LEVEL4ID = 470,../data/clean\subset7.csv,
"Health Products, Food and Pesticide Laboratories",LEVEL4ID = 471,../data/clean\subset7.csv,
Policy and Regulatory Strategies Directorate / Community of Federal Regulators / Assistant Deputy Ministers Office,LEVEL3ID = 348,../data/clean\subset7.csv,
Environmental Health and Pesticides Directorate,LEVEL3ID = 349,../data/clean\subset7.csv,
Pesticide Compliance Program,LEVEL4ID = 472,../data/clean\subset7.csv,
Environmental Health and Internationally Protected Persons Programs / Director Generals Office,LEVEL4ID = 473,../data/clean\subset7.csv,
Consumer Products and Controlled Substances Directorate,LEVEL3ID = 350,../data/clean\subset7.csv,
Consumer Product Safety Program,LEVEL4ID = 474,../data/clean\subset7.csv,
"Controlled Substances, Tobacco and Vaping Program / Director General's Office",LEVEL4ID = 475,../data/clean\subset7.csv,
Cannabis Directorate,LEVEL3ID = 351,../data/clean\subset7.csv,
Communications and Public Affairs Branch,LEVEL2ID = 213,../data/clean\subset7.csv,
Assistant Deputy Minister's Office /Ministerial Communications Directorate,LEVEL3ID = 352,../data/clean\subset7.csv,
Strategic Communications Directorate,LEVEL3ID = 353,../data/clean\subset7.csv,
Public Affairs Directorate,LEVEL3ID = 354,../data/clean\subset7.csv,
I cannot find my organizational unit,LEVEL2ID = 999,../data/clean\subset7.csv,
